Eid|Sid|Course Number|Number In Series|N In Series|Title|Date|Url|Ressources|Description|Video|Corpus
0|0|PLoROMvodv4rPP6braWoRt5UCXYZ71GZIQ|Lecture1|0|Statistical Learning with Python|2022-10-07T16:59:45Z|https://www.youtube.com/playlist?list=PLoROMvodv4rPP6braWoRt5UCXYZ71GZIQ|https://www.youtube.com/playlist?list=PLoROMvodv4rPP6braWoRt5UCXYZ71GZIQ|This is an introductory-level course in supervised learning, with a focus on regression and classification methods. The syllabus includes: linear and polynomial regression, logistic regression and linear discriminant analysis; cross-validation and the bootstrap, model selection and regularization methods (ridge and lasso); nonlinear models, splines and generalized additive models; tree-based methods, random forests and boosting; support-vector machines; neural networks and deep learning; survival models; multiple testing. Some unsupervised learning methods are discussed: principal components and clustering (k-means and hierarchical).  This is not a math-heavy class, so we try and describe the methods without heavy reliance on formulas and complex mathematics. We focus on what we consider to be the important elements of modern data science. Computing is done in Python. There are lectures devoted to Python, giving tutorials from the ground up, and progressing with more detailed sessions that implement the techniques in each chapter.  The lectures cover all the material in An Introduction to Statistical Learning, with Applications in Python by James, Witten, Hastie, Tibshirani and Taylor (Springer, 2023). The pdf for this book is available for free on the book website.  What You'll Learn: Overview of statistical learning Linear regression Classification Resampling methods Linear model selection and regularization Moving beyond linearity Tree-based methods Support vector machines Deep learning Survival modeling Unsupervised learning Multiple testing|LvySJGj-88U|Stanford Online
371|8|PLoROMvodv4rPzLcXBhbCFt8ahPrQGFSmN|Lecture68|67|Stanford CS105 - Introduction to Computers Full Course|2021-08-10T20:50:42Z|https://www.youtube.com/playlist?list=PLoROMvodv4rPzLcXBhbCFt8ahPrQGFSmN|https://www.youtube.com/playlist?list=PLoROMvodv4rPzLcXBhbCFt8ahPrQGFSmN|Because computing is so pervasive, students will be making decisions on computing whether they end up in business, education, working for NGOs, or working in government. We want to put CS105 graduates in the best position possible to make informed decisions on computing in both their personnel and professional lives.  Students will gain a good understanding of how computing devices work, what their limitations are, and what their strengths are. Students will gain practical skills that they can take forward from the course, including a thorough grounding in webpage development. Working with computers should be fun. We want to ensure that our students enjoy the class.|J4OnlGsym8Y|Stanford Online
372|8|PLoROMvodv4rPzLcXBhbCFt8ahPrQGFSmN|Lecture69|68|Stanford CS105 - Introduction to Computers Full Course|2021-08-10T20:51:06Z|https://www.youtube.com/playlist?list=PLoROMvodv4rPzLcXBhbCFt8ahPrQGFSmN|https://www.youtube.com/playlist?list=PLoROMvodv4rPzLcXBhbCFt8ahPrQGFSmN|Because computing is so pervasive, students will be making decisions on computing whether they end up in business, education, working for NGOs, or working in government. We want to put CS105 graduates in the best position possible to make informed decisions on computing in both their personnel and professional lives.  Students will gain a good understanding of how computing devices work, what their limitations are, and what their strengths are. Students will gain practical skills that they can take forward from the course, including a thorough grounding in webpage development. Working with computers should be fun. We want to ensure that our students enjoy the class.|Sw6S48iZ6DM|Stanford Online
373|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture1|0|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-22T22:03:28Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|oR6G1MUMveE|Stanford Online
374|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture2|1|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-22T22:02:39Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|vVspolIKPgc|Stanford Online
375|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture3|2|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-24T22:57:40Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|wlPiJZ1DQjs|Stanford Online
376|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture4|3|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-24T00:05:12Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|Ih3rIcBnnSg|Stanford Online
377|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture5|4|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-24T00:14:24Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|YiCAeeBEo50|Stanford Online
378|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture6|5|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-24T00:24:35Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|wqcknO3fArY|Stanford Online
379|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture7|6|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-24T23:00:05Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|0rOEhJlNzhs|Stanford Online
380|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture8|7|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-24T23:03:37Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|H0jR5nqueWk|Stanford Online
381|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture9|8|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-24T23:08:24Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|odR39SYhUH0|Stanford Online
382|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture10|9|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-24T23:18:03Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|w77MlgsylqY|Stanford Online
383|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture11|10|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-24T23:29:40Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|Gdl92kGR8Ho|Stanford Online
384|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture12|11|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-25T00:47:00Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|4shS22XxZYw|Stanford Online
385|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture13|12|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-25T00:54:25Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|liaZ_SCuE1w|Stanford Online
386|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture14|13|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-25T00:54:22Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|a4GjONqojzM|Stanford Online
387|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture15|14|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-25T00:56:28Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|RikEADik56Q|Stanford Online
388|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture16|15|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-25T00:58:06Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|IZhpqYeKZEM|Stanford Online
389|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture17|16|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-25T00:59:34Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|dTeN9ypsVTU|Stanford Online
390|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture18|17|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T17:37:02Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|1_LEoD33gC0|Stanford Online
391|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture19|18|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T18:24:45Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|JbtNJM1hM_4|Stanford Online
392|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture20|19|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T19:51:48Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|jXN50fuRSqE|Stanford Online
393|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture21|20|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T22:13:21Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|v7CH2ry-vrQ|Stanford Online
394|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture22|21|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T22:15:15Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|kTg0vKppOl8|Stanford Online
395|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture23|22|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T22:18:48Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|tQ3nrT6cZGE|Stanford Online
396|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture24|23|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T22:20:55Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|8SD2zRNWQcU|Stanford Online
397|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture25|24|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T22:23:41Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|6zWKMTVGkgQ|Stanford Online
398|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture26|25|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T22:25:53Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|NS0jvPLtgGc|Stanford Online
399|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture27|26|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T22:27:38Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|t-G9n2uCa4k|Stanford Online
400|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture28|27|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T22:30:10Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|NZfWiVuRMnI|Stanford Online
